timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,subject_id,notes,recording_id
1695642438001,-0.015625,-0.99542236,-0.101867676,-11.0625,2.5,0.4375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438041,0.034423828,-0.99713135,-0.1609497,-6.390625,7.734375,-1.515625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438081,0.031982422,-0.9859009,-0.15924072,-10.171875,4.6875,1.015625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438121,-0.020507812,-1.0046997,-0.07965088,-8.109375,0.5625,-1.671875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438161,-0.024658203,-1.0064087,-0.039611816,-0.484375,2.765625,-1.4375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438201,-0.03125,-0.9727173,-0.06890869,-5.21875,-4.46875,-2.078125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438241,-0.029785156,-0.9729614,-0.10601807,-10.734375,-6.40625,-0.921875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438281,-0.017578125,-0.9924927,-0.12335205,-5.5625,-0.96875,1.0625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438321,-0.00048828125,-0.9907837,-0.08380127,-0.046875,-4.484375,0.984375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438361,0.0073242188,-0.9793091,-0.09527588,1.96875,-3.09375,0.6875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438401,0.0017089844,-0.94488525,-0.121398926,9.0,-1.03125,0.59375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438441,-0.02734375,-1.0501099,-0.07623291,9.734375,6.140625,2.75,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438481,-0.015380859,-1.0049438,-0.16778564,10.125,7.21875,-0.34375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438521,0.009277344,-0.9998169,-0.07086182,-2.234375,5.703125,0.375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438561,-0.02758789,-0.9854126,-0.08843994,-11.484375,1.5,-1.484375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438601,-0.02709961,-1.0127563,-0.105529785,-5.125,-1.703125,-2.828125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438641,-0.0041503906,-1.0271606,-0.051574707,-2.359375,5.171875,-0.109375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438681,-0.049316406,-0.9993286,-0.07745361,-7.0,-1.015625,-3.65625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438721,-0.0009765625,-0.9661255,-0.093566895,-10.15625,-3.28125,-1.0,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438761,-0.008544922,-0.9800415,-0.06085205,-5.0625,-1.296875,-1.59375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438801,-0.07348633,-1.0159302,-0.051574707,-6.0,-1.734375,-0.96875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438841,0.0034179688,-0.96417236,-0.07183838,-2.625,-0.859375,0.390625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438881,-0.013916016,-0.98028564,-0.06768799,-1.890625,3.640625,-0.34375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438921,0.03515625,-0.88604736,-0.1765747,29.359375,2.796875,3.8125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642438961,-0.015625,-1.0667114,-0.04815674,9.390625,5.921875,2.328125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439001,-0.010498047,-0.97784424,-0.12042236,1.734375,4.21875,1.234375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439041,-0.028808594,-1.0271606,-0.07647705,-7.015625,3.921875,0.734375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439081,-0.030273438,-1.0178833,-0.06378174,-10.703125,1.21875,0.109375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439121,-0.0021972656,-0.98223877,-0.073791504,-4.265625,2.640625,1.15625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
