timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,ind
1696242746684,-1.2890625,1.8769531,1.5644531,-239.875,300.5,-162.78125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,119
1696242746724,-0.9707031,0.4375,-0.08300781,238.28125,-73.75,92.28125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,120
1696242746764,-0.16503906,0.25976562,-0.13867188,130.96875,-21.40625,103.15625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,121
1696242746804,-0.060546875,0.18945312,0.017578125,56.3125,5.71875,74.03125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,122
1696242746844,-0.16796875,0.0009765625,-0.10253906,10.3125,41.53125,159.84375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,123
1696242746884,-0.3984375,-0.051757812,-0.0546875,-10.5625,68.9375,127.75,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,124
1696242746924,-1.9912109,0.109375,-0.4453125,20.0625,-84.75,87.09375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,125
1696242746964,-0.8496094,0.22558594,-0.16308594,133.78125,21.09375,-19.40625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,126
1696242747004,-1.2773438,0.6035156,-0.5097656,183.8125,10.40625,-148.125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,127
1696242747044,-1.6298828,0.70703125,-0.75390625,15.5,-73.75,72.0,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,128
1696242747084,-0.9404297,0.18457031,-0.5058594,92.875,-158.90625,144.84375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,129
1696242747124,-1.0332031,0.24121094,-0.5605469,226.125,-95.5,139.40625,-101.5625,11.0,-109.375,Thingy,Running,-1,s2091784,,130
1696242747164,-0.7265625,0.07421875,-0.22851562,160.21875,102.5625,90.09375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,131
1696242747204,-0.97265625,1.390625,1.9707031,79.15625,276.28125,19.09375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,132
1696242747244,-0.6015625,-1.9892578,1.546875,-753.6875,48.1875,-176.53125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,133
1696242747284,-0.5126953,-0.26953125,-0.12890625,298.21875,-117.71875,217.28125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,134
1696242747324,-0.9423828,-0.1484375,-0.15917969,206.46875,-75.21875,-100.40625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,135
1696242747364,-1.9912109,0.26171875,-0.4404297,-21.0,-232.6875,-393.625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,136
1696242747404,-1.9912109,0.859375,-0.515625,-378.96875,23.84375,-294.25,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,137
1696242747444,-1.2626953,1.6396484,0.7919922,-308.25,340.125,-212.03125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,138
1696242747484,-1.1328125,0.359375,0.08105469,174.59375,-63.75,74.875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,139
1696242747524,-0.3330078,0.26953125,-0.109375,135.78125,-6.9375,91.71875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,140
1696242747564,-0.041015625,0.21386719,0.026367188,74.3125,24.625,101.3125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,141
1696242747604,-0.13769531,0.064453125,-0.07910156,-43.71875,-36.59375,145.125,-106.0625,1.25,-108.1875,Thingy,Running,-1,s2091784,,142
1696242747644,-0.22265625,-0.022460938,-0.048828125,52.28125,55.6875,73.90625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,143
1696242747684,-1.5898438,0.0546875,-0.4111328,-0.875,-30.84375,111.1875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,144
1696242747724,-1.9912109,0.1875,-0.4736328,129.1875,57.15625,-18.6875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,145
1696242747764,-0.65625,0.31640625,-0.21386719,204.46875,74.875,-90.09375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,146
1696242747804,-1.9228516,0.7470703,-0.8222656,80.0,-61.6875,28.25,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,147
1696242747844,-1.0039062,0.24902344,-0.5390625,-22.21875,-72.125,90.8125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,148
1696242747884,-1.1289062,0.13476562,-0.546875,215.5,-130.71875,168.21875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,149
1696242747924,-0.63671875,0.12890625,-0.3251953,156.125,14.1875,115.84375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,150
