timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes
1696249215321,0.037597656,-0.09307861,-1.0012817,-0.4375,-0.625,-0.109375,Respeck,Lying down on stomach,-1,s2091784,
1696249215367,0.041992188,-0.09088135,-0.99542236,-0.34375,-0.5,-0.046875,Respeck,Lying down on stomach,-1,s2091784,
1696249215412,0.040771484,-0.093322754,-0.9961548,-0.4375,-0.671875,-0.203125,Respeck,Lying down on stomach,-1,s2091784,
1696249215441,0.04272461,-0.09527588,-1.0007935,-0.5,-0.46875,-0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249215487,0.03881836,-0.09185791,-0.99884033,-0.421875,-0.59375,-0.171875,Respeck,Lying down on stomach,-1,s2091784,
1696249215516,0.040771484,-0.09649658,-0.9939575,-0.359375,-0.5625,-0.21875,Respeck,Lying down on stomach,-1,s2091784,
1696249215562,0.041992188,-0.08868408,-0.99957275,-0.21875,-0.703125,-0.203125,Respeck,Lying down on stomach,-1,s2091784,
1696249215610,0.03881836,-0.08453369,-0.99542236,-0.265625,-0.71875,-0.1875,Respeck,Lying down on stomach,-1,s2091784,
1696249215681,0.043945312,-0.09552002,-0.9949341,-0.53125,-0.6875,-0.09375,Respeck,Lying down on stomach,-1,s2091784,
1696249215696,0.037353516,-0.09454346,-0.9990845,-0.515625,-0.53125,-0.046875,Respeck,Lying down on stomach,-1,s2091784,
1696249215743,0.044189453,-0.09234619,-0.9985962,-0.375,-0.640625,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249215756,0.041503906,-0.09234619,-1.0007935,-0.296875,-0.859375,-0.0625,Respeck,Lying down on stomach,-1,s2091784,
1696249215819,0.039794922,-0.09088135,-0.99176025,-0.578125,-0.484375,-0.109375,Respeck,Lying down on stomach,-1,s2091784,
1696249215850,0.03955078,-0.09503174,-0.99224854,-0.421875,-0.859375,-0.09375,Respeck,Lying down on stomach,-1,s2091784,
1696249215876,0.041748047,-0.09454346,-0.99224854,-0.140625,-0.8125,-0.09375,Respeck,Lying down on stomach,-1,s2091784,
1696249215939,0.040527344,-0.089660645,-1.0020142,-0.703125,-0.5625,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249215967,0.041259766,-0.08868408,-0.99420166,-0.359375,-1.046875,-0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249215997,0.042236328,-0.089416504,-1.0027466,-0.484375,-0.78125,-0.15625,Respeck,Lying down on stomach,-1,s2091784,
1696249216042,0.044189453,-0.10064697,-0.99468994,-0.921875,-0.8125,0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249216087,0.045166016,-0.094055176,-1.00177,-0.578125,-0.90625,-0.09375,Respeck,Lying down on stomach,-1,s2091784,
1696249216117,0.041748047,-0.09185791,-1.00177,-0.59375,-0.828125,-0.203125,Respeck,Lying down on stomach,-1,s2091784,
1696249216162,0.04296875,-0.09527588,-0.9976196,-0.5,-0.96875,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249216207,0.045654297,-0.09283447,-0.99835205,-0.859375,-0.671875,-0.15625,Respeck,Lying down on stomach,-1,s2091784,
1696249216236,0.047851562,-0.090148926,-0.9963989,-0.484375,-0.96875,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249216282,0.04663086,-0.0947876,-1.0022583,-0.421875,-0.78125,-0.1875,Respeck,Lying down on stomach,-1,s2091784,
1696249216312,0.047607422,-0.09820557,-1.000061,-0.859375,-1.015625,-0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249216357,0.047607422,-0.09429932,-1.0010376,-0.65625,-0.828125,-0.203125,Respeck,Lying down on stomach,-1,s2091784,
1696249216402,0.046142578,-0.09063721,-1.000061,-0.796875,-0.765625,-0.203125,Respeck,Lying down on stomach,-1,s2091784,
1696249216476,0.052490234,-0.09234619,-0.9949341,-0.484375,-0.796875,-0.21875,Respeck,Lying down on stomach,-1,s2091784,
1696249216479,0.05078125,-0.101135254,-1.0025024,-0.9375,-0.59375,0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249216522,0.05126953,-0.09942627,-1.000061,-0.703125,-0.71875,-0.203125,Respeck,Lying down on stomach,-1,s2091784,
1696249216551,0.052490234,-0.10015869,-0.9951782,-0.484375,-0.796875,-0.234375,Respeck,Lying down on stomach,-1,s2091784,
1696249216596,0.048095703,-0.09649658,-0.99420166,-0.859375,-0.609375,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249216642,0.053955078,-0.09869385,-1.00177,-0.453125,-0.796875,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249216672,0.046875,-0.0960083,-0.99542236,-0.765625,-0.75,-0.25,Respeck,Lying down on stomach,-1,s2091784,
1696249216725,0.050048828,-0.09918213,-1.0046997,-0.75,-0.796875,0.0,Respeck,Lying down on stomach,-1,s2091784,
1696249216762,0.045410156,-0.10284424,-1.005188,-1.046875,-0.421875,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249216791,0.048583984,-0.097961426,-0.9924927,-0.609375,-0.859375,-0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249216836,0.052734375,-0.101135254,-1.0046997,-1.078125,-0.703125,-0.0625,Respeck,Lying down on stomach,-1,s2091784,
1696249216882,0.051757812,-0.101135254,-0.9907837,-0.765625,-0.78125,-0.09375,Respeck,Lying down on stomach,-1,s2091784,
1696249216911,0.052246094,-0.10015869,-1.0032349,-1.0,-0.8125,-0.15625,Respeck,Lying down on stomach,-1,s2091784,
1696249216956,0.052978516,-0.09967041,-0.9932251,-0.78125,-0.5625,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249216987,0.05810547,-0.10455322,-0.9920044,-0.6875,-0.71875,-0.21875,Respeck,Lying down on stomach,-1,s2091784,
1696249217031,0.052978516,-0.09869385,-0.99298096,-0.625,-0.828125,0.046875,Respeck,Lying down on stomach,-1,s2091784,
1696249217077,0.05029297,-0.101135254,-1.0064087,-0.640625,-0.59375,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249217107,0.056640625,-0.10333252,-0.989563,-0.4375,-0.3125,-0.171875,Respeck,Lying down on stomach,-1,s2091784,
1696249217152,0.0546875,-0.101623535,-0.987854,-0.359375,-0.40625,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249217196,0.060791016,-0.1038208,-0.99786377,-0.421875,-0.46875,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249217227,0.052734375,-0.10455322,-1.0044556,-0.59375,-0.1875,-0.1875,Respeck,Lying down on stomach,-1,s2091784,
1696249217315,0.05444336,-0.10040283,-0.99884033,-0.234375,-0.40625,-0.15625,Respeck,Lying down on stomach,-1,s2091784,
1696249217328,0.05102539,-0.101379395,-0.9998169,-0.59375,-0.40625,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249217346,0.05419922,-0.10235596,-0.99176025,-0.296875,-0.140625,-0.234375,Respeck,Lying down on stomach,-1,s2091784,
1696249217427,0.056884766,-0.10211182,-1.003479,-0.671875,-0.328125,-0.203125,Respeck,Lying down on stomach,-1,s2091784,
1696249217444,0.053710938,-0.09698486,-0.9951782,-0.8125,-0.3125,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249217466,0.049804688,-0.10675049,-1.0049438,-1.09375,-0.015625,-0.15625,Respeck,Lying down on stomach,-1,s2091784,
1696249217512,0.045410156,-0.10284424,-0.9915161,-0.53125,0.265625,-0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249217557,0.05102539,-0.109680176,-0.99542236,-0.078125,0.484375,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249217587,0.048583984,-0.10626221,-0.987854,0.046875,0.21875,-0.109375,Respeck,Lying down on stomach,-1,s2091784,
1696249217632,0.05126953,-0.10211182,-1.0007935,-0.03125,0.234375,-0.109375,Respeck,Lying down on stomach,-1,s2091784,
1696249217676,0.04736328,-0.101867676,-1.000061,0.015625,0.0,-0.171875,Respeck,Lying down on stomach,-1,s2091784,
1696249217707,0.041259766,-0.1026001,-0.99346924,-0.109375,0.125,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249217751,0.049316406,-0.105529785,-0.99591064,0.1875,-0.03125,-0.296875,Respeck,Lying down on stomach,-1,s2091784,
1696249217782,0.03955078,-0.10284424,-0.99884033,-0.25,-0.203125,-0.109375,Respeck,Lying down on stomach,-1,s2091784,
1696249217826,0.040283203,-0.10064697,-0.9981079,-0.171875,-0.234375,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249217872,0.04272461,-0.1038208,-1.000061,-0.203125,-0.328125,-0.0625,Respeck,Lying down on stomach,-1,s2091784,
1696249217902,0.044433594,-0.09429932,-0.99835205,-0.15625,-0.03125,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249217984,0.039794922,-0.093811035,-0.9944458,-0.15625,-0.296875,-0.046875,Respeck,Lying down on stomach,-1,s2091784,
1696249217991,0.049560547,-0.10040283,-0.9985962,-0.234375,-0.109375,0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249218022,0.041503906,-0.101379395,-0.99542236,-0.015625,-0.3125,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249218067,0.041015625,-0.10040283,-1.0012817,-0.140625,-0.296875,-0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249218112,0.042236328,-0.1038208,-0.9920044,-0.3125,-0.109375,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249218143,0.040039062,-0.09649658,-0.99542236,-0.171875,-0.015625,-0.234375,Respeck,Lying down on stomach,-1,s2091784,
1696249218187,0.03930664,-0.09698486,-0.9973755,-0.390625,-0.25,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249218232,0.037109375,-0.101135254,-1.000061,-0.3125,-0.21875,-0.046875,Respeck,Lying down on stomach,-1,s2091784,
1696249218262,0.039794922,-0.09893799,-0.9924927,-0.28125,-0.234375,-0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249218306,0.038330078,-0.0960083,-1.0012817,-0.25,-0.390625,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249218352,0.037597656,-0.09893799,-0.9993286,-0.296875,-0.421875,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249218382,0.04296875,-0.09576416,-0.9973755,-0.296875,-0.578125,-0.046875,Respeck,Lying down on stomach,-1,s2091784,
1696249218427,0.036132812,-0.09893799,-1.0027466,-0.328125,-0.4375,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
