timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,subject_id,recording_id
1695300629172,-0.9326172,-0.1572876,-0.33917236,-0.453125,0.078125,0.015625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629212,-0.9453125,-0.15484619,-0.3399048,-0.4375,-0.046875,-0.296875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629252,-0.94091797,-0.14727783,-0.3430786,-0.828125,0.390625,-0.515625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629292,-0.9550781,-0.1416626,-0.33746338,-0.640625,-0.203125,-0.375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629332,-0.9458008,-0.15460205,-0.32989502,-1.140625,-0.25,-0.34375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629372,-0.94921875,-0.1494751,-0.33648682,-1.234375,-0.328125,-0.265625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629412,-0.9526367,-0.1519165,-0.34161377,-0.84375,0.734375,-0.25,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629452,-0.94262695,-0.15020752,-0.3394165,-0.65625,0.453125,0.046875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629492,-0.9428711,-0.14752197,-0.33551025,-0.875,0.328125,0.09375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629532,-0.9440918,-0.14996338,-0.33477783,-1.5625,0.625,-0.09375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629572,-0.951416,-0.15216064,-0.34381104,-1.890625,0.4375,-0.171875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629612,-0.94140625,-0.15362549,-0.33673096,-1.1875,0.5625,-0.015625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629652,-0.9465332,-0.15753174,-0.34454346,-1.453125,0.34375,-0.125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629692,-0.9470215,-0.15338135,-0.32965088,-0.78125,1.03125,-0.171875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629732,-0.94921875,-0.15289307,-0.33135986,-0.703125,0.625,-0.09375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629772,-0.9494629,-0.15240479,-0.33062744,-1.03125,0.4375,-0.1875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629812,-0.9445801,-0.15509033,-0.33233643,-0.828125,0.5,-0.265625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629852,-0.9484863,-0.15802002,-0.33355713,-1.015625,0.609375,-0.171875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629892,-0.94970703,-0.15582275,-0.33111572,-1.0625,0.515625,-0.28125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629932,-0.94750977,-0.15655518,-0.33721924,-1.84375,0.140625,-0.03125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300629972,-0.9555664,-0.15582275,-0.3303833,-0.421875,0.265625,-0.09375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
