timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,subject_id,recording_id
1695301281807,-0.5810547,-1.4541016,0.86035156,-124.8125,-115.875,-64.53125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301281847,-0.6035156,0.46679688,0.8330078,249.3125,-227.5,-59.96875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301281887,-1.9873047,-0.75683594,-0.7314453,257.875,-253.6875,-52.8125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301281927,-1.9873047,-0.08300781,-0.27441406,36.71875,-344.0,-173.65625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301281967,-1.3359375,-0.9394531,-0.03125,36.5625,-259.84375,-68.8125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282007,-0.7636719,-0.6298828,-0.0859375,329.09375,-82.71875,-69.1875,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282047,0.5107422,0.9140625,-0.5136719,19.8125,57.125,-14.3125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282087,1.7734375,0.5576172,-1.9248047,24.84375,149.8125,-0.34375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282127,-0.29882812,0.1953125,-0.23242188,-273.5,138.59375,49.0625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282167,-1.9873047,-1.7490234,2.0253906,2.96875,-118.84375,62.65625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282207,-1.9873047,2.0117188,2.0751953,-235.1875,-137.09375,105.8125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282247,1.6777344,1.9072266,-0.9658203,7.8125,161.71875,-248.5625,-65.375,13.6875,-45.1875,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282287,-0.953125,0.23242188,-1.6259766,-246.40625,226.65625,283.125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282327,-1.9873047,-1.9882812,2.0751953,442.625,354.21875,-396.3125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282367,-1.7617188,-0.2734375,1.7714844,206.65625,259.375,45.375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
